ID,Tags,Created At,Text
1423753838255869952,latest etribune news covid_19 covidtest correctdiagnosiscorrecttreatment,Fri Aug 06 21:12:21 +0000 2021,"UPDATE ON RAPID COVID-19 PCR TEST! 

@etribune @airblueairline @Official_PIA @etihad @emirates @FlydubaiP @airarabiagroup @OverPakistani @falamb3 @SereneAirPak @SalamAir 
#latest #etribune #news 
#covid_19 #covidtest #correctdiagnosiscorrecttreatment https://t.co/NDnGEVUeiC"
1423735121711149063,,Fri Aug 06 19:57:59 +0000 2021,"@TheCricketGuy3 @TerabaapKaminai @Suraj51568701 @aashu_chauhan_7 @DennisCricket_ Indian variant of covid is far away dangerous, so celebrate every day when you see yourself alive"
1423731270882836482,,Fri Aug 06 19:42:41 +0000 2021,"@Reuters So what now? We need a new vaccine and until that one is ready we should go for lockdown and fuck the people’s livelihoods.

This is getting ridiculous. If one still doesn’t get the whole idea of this plandemic he/she is already a zombie."
1423722203149910018,APPNews COVID19,Fri Aug 06 19:06:39 +0000 2021,"Over 1 mln people being vaccinated against COVID-19 daily: Dr Faisal 

#APPNews #COVID19 @fslsltn @MoIB_Official @nhsrcofficial 

https://t.co/M0V7TvV06o via @appcsocialmedia"
1423721645110222853,ECI SDGs CEP UNDP youth UET Mardan UOT Nowshera Covid,Fri Aug 06 19:04:26 +0000 2021,"#ECI led activities in line with #SDGs under the project #CEP of #UNDP involved #youth and staff of #UET #Mardan &amp; #UOT #Nowshera covered 
Plantation and cleanliness drive 🧼 
Job Fair; Water Filter Installation; Renovation of Physical Centre; #Covid prevention drive 😷 https://t.co/Pcs8BTsLwC"
1423721628970766340,,Fri Aug 06 19:04:22 +0000 2021,Seven die after outbreak of Colombian variant of Covid-19 at Belgian nursing home https://t.co/tGLHz0LLpE
1423721628647759879,,Fri Aug 06 19:04:22 +0000 2021,"Early signs Covid-19 vaccines may not stop Delta transmission, England says https://t.co/U9uei1RDEU"
1423714471575445511,,Fri Aug 06 18:35:56 +0000 2021,"Early signs COVID-19 vaccines may not stop Delta transmission, England says https://t.co/Y9mcksVzZp"
1423703578242428929,,Fri Aug 06 17:52:38 +0000 2021,"Two doctors hailing from Sindh's Naushahro Feroze district, one of them fully vaccinated against Covid-19, succumbed to the disease in Karachi on Friday, a senior official of the Pakistan Medical Association (PMA) confirmed."
1423703137026781193,islamabad rawalapindi lockdown CovidIsNotOver,Fri Aug 06 17:50:53 +0000 2021,"Closed day order! 

#islamabad
#rawalapindi
#lockdown
#CovidIsNotOver https://t.co/0oOH5IE5HO"
