ID,Tags,Created At,Text
1439340446572900360,,Sat Sep 18 21:27:58 +0000 2021,"The Delta variant now represents more than 99% of coronavirus cases in the U.S., according to the CDC. https://t.co/Rm9PvHCmxT"
1439339046547902464,,Sat Sep 18 21:22:24 +0000 2021,@kiamasla_hayr I'm covid patient still 7.5😆
1439331216025608192,,Sat Sep 18 20:51:18 +0000 2021,Lockdown made this season famous otherwise 💩 https://t.co/YjbHExpILQ
1439319438612963335,Bloomberg,Sat Sep 18 20:04:30 +0000 2021,"This is kinda scary!!
#Bloomberg

https://t.co/IFdaELRsbB"
1439307114674016260,,Sat Sep 18 19:15:31 +0000 2021,@aX3tw0 Theek hai👍🏻 medicine Kaam nae karti thi end par oxydil injections lagay for 5 days 2 times so finally fever to nae hai ab but post covid anxiety is fucking me so bad🤦🏻‍♀️kuch b kaam Nae kar raha
1439305861546008580,,Sat Sep 18 19:10:33 +0000 2021,"Just coming out of Covid and isolation and learning that NZ have UNILATERALLY cancelled their tour is unnerving. 
It’s not the first time my beloved homeland is being defamed. But we’ll rise and that too rise stronger. https://t.co/q5LJ5NjjSr"
1439305599322411013,,Sat Sep 18 19:09:30 +0000 2021,@aX3tw0 Allah😳 mai khud Abhi Allah Allah kar k behter hui hun it’s been 22 days but abhi tak recover nae hui 18 days to fever ne jaan nae chori and guess what abhi post COVID anxiety shuru Aur ab bp high rehta hai har time🤦🏻‍♀️life’s fucked up man
1439287143768199173,,Sat Sep 18 17:56:10 +0000 2021,"It’s time for @ecb_cricket to show their appreciation of @therealpcb through actions and not words. Despite the mind boggling @blackcaps decision, Pakistan remains a safe place to tour. ECB shouldn't forget our support for them last year in a very tough Covid-19 situation."
1439275175090933764,iiuifeeincreased iiuisemesterfeeincreased,Sat Sep 18 17:08:36 +0000 2021,"Increasing of dues of university students is not fair at the moment when the whole population is under crises in covid times.
It is totally unfair to increase fee in these circumstances.Kindly stop it.
#iiuifeeincreased
#iiuisemesterfeeincreased"
1439275069700669447,iiuifeeincreased iiuisemesterfeeincreased,Sat Sep 18 17:08:11 +0000 2021,"Students and their parents are suffering from financial crisis due to COVID 19. So please stop increasing fee.
#iiuifeeincreased
#iiuisemesterfeeincreased"
1439259624377565187,,Sat Sep 18 16:06:49 +0000 2021,@Covid_Token @CoinMarketCap Waiting for airdr6
1439242922927472644,,Sat Sep 18 15:00:27 +0000 2021,I have tested covid positive and have isolated myself at home. Plz follow COVID sops and stay safe.
1439215581199310856,,Sat Sep 18 13:11:48 +0000 2021,@GICSangam @dr_skusa and you know hypocrisy on the top with Pakistan India is on top with covid cases in world
1439203440404598790,,Sat Sep 18 12:23:33 +0000 2021,"""We stood by Srilanka and played cricket there when Tamil tigers were attacking the govt.
We went to New Zealand and played there right after the attack on mosque. When everyone was so frightened. 
We played in England during Covid peak. 

We have helped everyone for the cricket"""
1439202451731763208,,Sat Sep 18 12:19:38 +0000 2021,"Covid is not going anywhere but a fool’s hope should go away and Humans should make permanent structural reforms to the Economy and start living with the Covid

Covid will completely re-shape global economy and human life style"
