ID,Tags,Created At,Text
1434640489895145472,,Sun Sep 05 22:12:01 +0000 2021,@eebss__ Only sabun slow hona chahiye cuz everyone used to mock bunty for his slow sabun before COVID outbreak.
1434627706361040903,,Sun Sep 05 21:21:13 +0000 2021,Brazil's World Cup qualifying clash against Argentina was sensationally halted shortly after kick-off on Sunday as controversy over Covid-19 protocols erupted
1434623938999558148,,Sun Sep 05 21:06:15 +0000 2021,"Covid news  :   Moderna booster vaccine might not be ready by Sept 20 , Pfizer on track ."
1434620601881305095,,Sun Sep 05 20:53:00 +0000 2021,"Requesting for million AMEENS. 
one of my bestfriend is down with covid and cancer. I feel soooo helpless. Say a prayer in every Namaz. seeing bestfriend cry is soooooo heart breaking."
1434602777221677064,followforfollow,Sun Sep 05 19:42:10 +0000 2021,"School districts across the country are dealing with severe substitute teacher shortages, despite efforts to recruit and pay them more https://t.co/tr3RuRMkxU #followforfollow"
1434602442121900034,,Sun Sep 05 19:40:50 +0000 2021,The World Cup qualifier between Brazil and Argentina has been suspended after Brazilian Health authorities came out mid-game due to controversy over COVID protocols
1434598056918462468,,Sun Sep 05 19:23:24 +0000 2021,"Extra ordinary scenes as the health department of Brazil interferes the game to detain 4 PL based Argentine players because of Covid issues.
Peak Argentina vs Brazil.🔥 https://t.co/5FrnchgZk7"
1434589119359819776,,Sun Sep 05 18:47:54 +0000 2021,Horrendous bridal shoots appear to be on the rise too. You’d be forgiven for thinking that good taste was in lockdown too.
1434585356926701568,,Sun Sep 05 18:32:57 +0000 2021,"Day 10, boring day.everything looks just like covid,except the smell. https://t.co/vpFSHxUZ06"
1434574976078598145,GeoNews,Sun Sep 05 17:51:42 +0000 2021,"Cricket India confirms the news, says support staff members including bowling and fielding coaches also in isolation.

Read more: https://t.co/fTWUextmYJ

#GeoNews https://t.co/BnIkTPb9OK"
1434569394638761986,,Sun Sep 05 17:29:31 +0000 2021,"@i_J_a_w_a_d @alyayla_ Pichla adha mahina kaam nahi hua, one week of useless lockdown, another lost starting with 14th Aug and then Ashura, technically its two days but signals drop on 8th moharram too. So can't afford another day off without a reason :("
1434561862872481793,lockdown Karachi,Sun Sep 05 16:59:35 +0000 2021,What's with these rumours of #lockdown in #Karachi??. There's no official news about it.
1434561144111439872,,Sun Sep 05 16:56:44 +0000 2021,"@Azy_here COVID is now behind for MKT, I think"
1434560478991118340,BiggBossOTT AksharaSingh,Sun Sep 05 16:54:05 +0000 2021,Feeling so disappointing today. I saw #BiggBossOTT first  time.bcz I'm suffering from Covid n i was needed something to divert my mind.but im feeling more anxiety bcz of bbot baised decisions.I'il stop watching this show if #AksharaSingh will evict today.This is really too much.
1434558753731489800,,Sun Sep 05 16:47:14 +0000 2021,@AliHZaidiPTI You had covid twice. Least need 30 more days to recover properly. Fibrosis wont cure overnight.
1434555268210249736,,Sun Sep 05 16:33:23 +0000 2021,"@Silent_deserts @AliHZaidiPTI Yes , have just got out of covid and sometimes get breathless while walking. Hopefully it will get better with time"
1434553021653032964,,Sun Sep 05 16:24:27 +0000 2021,"@AliHZaidiPTI U need to be very careful Ali Bhai
I too had covid twice
I also have a similar problem whenever I'm in a congested place or rush"
1434552950232395781,followforfollow,Sun Sep 05 16:24:10 +0000 2021,Video captures a wounded Proud Boys leader who was reportedly shot following clashes with Antifa at a COVID-19 protest https://t.co/pDyyIs050Z #followforfollow
1434547878031134725,ARYNews,Sun Sep 05 16:04:01 +0000 2021,"Sindh reports 1016 new cases of Covid-19

#ARYNews 

https://t.co/DvLuupYBxD"
1434546873868722180,,Sun Sep 05 16:00:01 +0000 2021,"Do you have a pet home and wondering if you could get covid through it? The answer is no.

Humans have not been infected to COVID-19 because of any animal source. As per SAARS-Cov, the Covid virus was first transmitted from cats to other dromedary camels in 2012. https://t.co/WcocEC33cp"
