ID,Tags,Created At,Text
1453818424925245442,followforfollow,Thu Oct 28 20:18:17 +0000 2021,Confused about whether to get a booster? Health experts share what they're telling friends and family https://t.co/RwIV3TAiw4 #followforfollow
1453814009334018061,,Thu Oct 28 20:00:45 +0000 2021,Moscow partially shuts down as Russia sees record COVID cases https://t.co/CjmGKHbzKD
1453802811104317445,,Thu Oct 28 19:16:15 +0000 2021,"@TargaryenKhan uhm no?this wasnt about capcaity and more about an exclusive ""armed forces"" only thing. the entire debate isn't even about just covid times. read the qrts, and about how people have died because they've been turned away from army hosp."
1453774616363737103,followforfollow,Thu Oct 28 17:24:13 +0000 2021,"Smaller needle, lower dose, fewer side effects, same benefit: What to know about the coming COVID-19 vaccine for kids https://t.co/vbGClCepXZ #followforfollow"
1453770369601613835,Ordinarydoctors,Thu Oct 28 17:07:20 +0000 2021,"#Ordinarydoctors in their limited resources trying their best to help ppl without any discrimination, sacrificing their own lives to save others in the fight against this deadly virus but instead to acknowledge their unconditional sacrifices, humiliation is a shameful act."
1453744944762478604,Aquaman2 JasonMomoa,Thu Oct 28 15:26:18 +0000 2021,"Jason Momoa tests positive for COVID-19 during filming of 'Aquaman 2' - 
#Aquaman2 #JasonMomoa
https://t.co/317a7pkIwC - https://t.co/Q8N80GnhX1"
1453741156827807746,sajalaly BilalAbbasKhan KhelKhelMein,Thu Oct 28 15:11:15 +0000 2021,"The film will be the first Lollywood movie to hit cinemas since COVID-19
#sajalaly
#BilalAbbasKhan
#KhelKhelMein
@nabeelqureshi
https://t.co/rAELZAnxQd"
1453736883524026371,followforfollow,Thu Oct 28 14:54:16 +0000 2021,Moscow is going on its strictest lockdown yet as Russian COVID-19 deaths reach record highs https://t.co/EKOcPz2mG9 #followforfollow
1453733836978745358,SajalAly BilalAbbas kkm,Thu Oct 28 14:42:10 +0000 2021,"“KHEL KHEL MEIN”- The first post COVID lockdown film releasing on Nov. 19 - 
#SajalAly #BilalAbbas #kkm
https://t.co/PyTh5vlmqO - https://t.co/BSV7phRBYX"
1453733425018408972,,Thu Oct 28 14:40:32 +0000 2021,"Nothing makes you happier than seeing your efforts making an impact where it really matters. 
Coding and Robotics is the present and future, it's the birthright of every kid to learn these skills right from an early age. 
When the COVID came in, we got th…https://t.co/Digc4UaU1b"
1453723704152580099,,Thu Oct 28 14:01:54 +0000 2021,"MILTAY HAI CINEMA MAI.

Filmwala Pictures is excited to announce the first Pakistani film to be released post covid-19 and upon the opening of Cinemas nationwide.

 “KHEL KHEL MEIN” releaseing This November. 

The anticipated wait will be well worth it! … https://t.co/BxqYpjpByJ https://t.co/agvDRHnSlX"
1453718217277333506,PCB Pakistanwomencricketteam COVID19 testedpositive WestIndiesseries,Thu Oct 28 13:40:06 +0000 2021,"Three members of the Pakistan women’s cricket team shortlisted for the home series against West Indies have tested positive for Covid-19, the cricket board stated on Thursday.
https://t.co/SqR3wJkxLZ

#PCB  #Pakistanwomencricketteam  #COVID19 #testedpositive #WestIndiesseries https://t.co/vSrP5obhlZ"
1453717047595110406,,Thu Oct 28 13:35:27 +0000 2021,@AzamJamil53 Lockdown hay
1453715005304569861,followforfollow,Thu Oct 28 13:27:20 +0000 2021,"A nasal COVID-19 vaccine could be the solution to ending the pandemic, experts say, and early trial data looks promising https://t.co/DTpNeVkoI0 #followforfollow"
1453711909245669376,,Thu Oct 28 13:15:02 +0000 2021,"Thank you to all our fans for being so patient! Filmwala Pictures is excited to announce the first Pakistani film to be released post covid-19 and upon the opening of Cinemas nationwide. 

We are thrilled to be releasing 
“KHEL KHEL MEIN” This November. https://t.co/YSz31a7MtI"
1453709721660280835,ARYNews,Thu Oct 28 13:06:20 +0000 2021,"Pfizer gets contract for 50 mln COVID-19 vaccine doses for kids
#ARYNews 

https://t.co/WtwNzwSeMw"
1453708292711190535,Filmwala KHELKHELMEIN KKM Arydigital Arynews Eveready,Thu Oct 28 13:00:40 +0000 2021,"Thank you to all our fans for being so patient!
#Filmwala Pictures is excited to announce the 1st Pakistani film to be released post covid-19 &amp; upon the opening of Cinemas nationwide

We are thrilled to be releasing #KHELKHELMEIN this Nov
#KKM #Arydigital #Arynews #Eveready https://t.co/17BxT5kaQA"
1453696396452827138,,Thu Oct 28 12:13:23 +0000 2021,@_robpatt obv capacity must have been fully reached to aur loog kahan se ghusa lete andar ? and same was happening with other civilian hospital in my neighborhood too at peak of COVID-19
1453694642503962625,,Thu Oct 28 12:06:25 +0000 2021,@cereal_twit Are you on any medications? Unrelated to covid but a friends dad had terrible headaches and after years of suffering found that the ventolin inhaler was interacting with some other medication and causing it.
1453693078729109506,,Thu Oct 28 12:00:12 +0000 2021,"@ZobiakhurshidZK @ZobiaKhurshid @BBhuttoZardari @AseefaBZ (Warning) Another dangerous calamity is coming to the world. Take care of yourself. Will India be destroyed?  People will forget Corona virus. Scientists issue alert?

 https://t.co/zM6ufysnbR"
1453692530986557440,,Thu Oct 28 11:58:02 +0000 2021,"@JoeBiden @KamalaHarris @TerryMcAuliffe (Warning) Another dangerous calamity is coming to the world. Take care of yourself. Will India be destroyed?  People will forget Corona virus. Scientists issue alert?

 https://t.co/zM6ufysnbR"
1453692493535621129,,Thu Oct 28 11:57:53 +0000 2021,"@JoeBiden @TerryMcAuliffe (Warning) Another dangerous calamity is coming to the world. Take care of yourself. Will India be destroyed?  People will forget Corona virus. Scientists issue alert?

 https://t.co/zM6ufysnbR"
1453692407845949441,,Thu Oct 28 11:57:32 +0000 2021,"@POTUS (Warning) Another dangerous calamity is coming to the world. Take care of yourself. Will India be destroyed?  People will forget Corona virus. Scientists issue alert?

 https://t.co/zM6ufysnbR"
1453691889622867968,,Thu Oct 28 11:55:29 +0000 2021,"@majorgauravarya (Warning) Another dangerous calamity is coming to the world. Take care of yourself. Will India be destroyed?  People will forget Corona virus. Scientists issue alert? India kaa balatkaar hony wala hy?

 https://t.co/zM6ufysnbR"
1453691650702811139,,Thu Oct 28 11:54:32 +0000 2021,"@majorgauravarya (Warning) Another dangerous calamity is coming to the world. Take care of yourself. Will India be destroyed?  People will forget Corona virus. Scientists issue alert?

 https://t.co/zM6ufysnbR"
