ID,Tags,Created At,Text
1450187561947648000,,Mon Oct 18 19:50:32 +0000 2021,Covid implications https://t.co/IA5Ehn59Km
1450163601961103360,,Mon Oct 18 18:15:20 +0000 2021,@ImtiazGul60 @covid All the best wishes and prayers for your long &amp; healthy life
1450158799680114690,,Mon Oct 18 17:56:15 +0000 2021,Lingering Effects from Covid and Hurricane Ida Hurt Industrial Output in September https://t.co/pcm5eWyepP
1450117535622316037,,Mon Oct 18 15:12:17 +0000 2021,"Colin Powell, ex US secretary of state, has died due to complications from COVID-19.
RIP"
1450111033117495299,Peshawar Peshawar,Mon Oct 18 14:46:26 +0000 2021,"The Deputy Commissioner #Peshawar inaugurated Corona Vaccination Center in Naseer Ullah Babar Memorial Hospital #Peshawar 

KP health Dept is trying to to provide extra space for Covid Vaccination https://t.co/xvoSAdgInN"
1450093630245511171,,Mon Oct 18 13:37:17 +0000 2021,"@BauhatSara To some extent, the main reason for this is inflation,due to (Covid-19) issue 
And also 
 Business man recovering  last year's expenses to run the airline."
1450072936631635973,,Mon Oct 18 12:15:03 +0000 2021,Former US Secretary Colin Powell dead at 84 from COVID-19 complications https://t.co/AmDkuuharJ
1450053735565119492,,Mon Oct 18 10:58:45 +0000 2021,Covid-19 claims 11 lives amid declining positivity rate in Pakistan https://t.co/vEMKe2awd6
1450038571142889479,,Mon Oct 18 09:58:30 +0000 2021,@ImtiazGul60 @covid MashAllah. May Allah protect you and give you lasting health...
1449985149509189634,,Mon Oct 18 06:26:13 +0000 2021,"https://t.co/gkMCkCjAaH
Prof Khalid Mahmood of LRH asks people to get vaccinated against Covid-19. https://t.co/QNUPGydLpY"
