ID,Tags,Created At,Text
1419705745944289281,CovidVaccine Sinovac vaccination,Mon Jul 26 17:06:41 +0000 2021,"Done with the 2nd dose of Covid vaccine 💉 
#CovidVaccine #Sinovac #vaccination https://t.co/Vn0Y6lpLR7"
1419677781131206657,JusticeForWomen,Mon Jul 26 15:15:34 +0000 2021,"@WishahAbubakr WTF .... these beast like humans are getting out of hand... we need vaccination against sch virus... wht the hell is going wrong.. killing, burning,beating.. mtlb koi safe hi nhi..  
Human rights walo??? Govt??? Jag rhy hain ap log??? 
#JusticeForWomen"
1419630895183667200,FollowSOPs healtheducationcell StrongAgainstCovid StaySafeAndHealthy,Mon Jul 26 12:09:15 +0000 2021,"Protect Yourself and Your Loved Ones From COVID-19.

#FollowSOPs 
#healtheducationcell 
#StrongAgainstCovid 
#StaySafeAndHealthy 
@jam_kamal
@Dr_RubabaBuledi
@jamalidmg
@UNICEF_Pakistan
@UNinPak
@UNICEFROSA
@WHOPakistan
@WHO
@nhsrcofficial
@dpr_gob
@OfficialNcoc
@DrGulSabeenAza1 https://t.co/6vRBW59Gat"
1419581975703269376,CM Balochistan women Pakistan Covid,Mon Jul 26 08:54:52 +0000 2021,"#CM #Balochistan @jam_kamal inaugurates 1st ever Govt organized #women T 20 Cricket tournament in #Pakistan Chief Minister Balochistan T20 women Cricket tournament in Quetta Balochistan.

Fabulous Event without spectators due to #Covid SOPs, You can watch events on @geosupertv https://t.co/OygTCKw1vy"
1419560835089895427,,Mon Jul 26 07:30:51 +0000 2021,Pakistan's coronavirus positivity rate jumps to 7.51% as virus spread spirals out of control https://t.co/kymR6l5WEl
1419492829177556993,,Mon Jul 26 03:00:38 +0000 2021,Lockdown Imposed https://t.co/b1n1RccjBY
