ID,Tags,Created At,Text
1439488571610517505,,Sun Sep 19 07:16:34 +0000 2021,Taraqee Foundation is and will remain active in supporting its partner communities during the pandemic( COVID 19). https://t.co/5FMbhGy4ak
1439486283613618177,,Sun Sep 19 07:07:29 +0000 2021,Pakistan reports COVID positivity ratio below 5% for second consecutive day https://t.co/V6cYF6qWNV
1439461290267787265,,Sun Sep 19 05:28:10 +0000 2021,"@ETroguet 
Maam, Sirbaz khan from Pakistan is attempting to summit Mt Dhaulagiri, He will start his mission today. he will be leaving for Camp 1 today. I think this is the same Mountain which you abondened due to Covid"
